molecule,smiles,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,ZPE_eV,ZPE_pos_eV,ZPE_neg_eV,aEA_eV,aIP_eV,D4_disp_corr_eV,n_rings,Erel_eV,NFOD,HOMO_eV_corrected,LUMO_eV_corrected,GAP_eV_corrected,aIP_eV_corrected,aEA_eV_corrected
hc_c32h18_0pent_106,c1ccc2c(c1)ccc1cc3cc4c5ccccc5c5cccc6ccc(c3cc12)c4c65,-9.704,-7.735,1.969,0.019,-2115.967,-2104.6,-2122.056,10.382,10.342,10.291,-6.089,11.367,-1.937,8,0.1,0.658,-6.541,-1.211,5.326,6.811,-0.979
hc_c32h18_0pent_107,c1ccc2c(c1)ccc1cc3c(cc12)cc1c2ccccc2c2cccc4ccc3c1c42,-9.685,-7.753,1.933,0.034,-2115.98,-2104.651,-2122.107,10.382,10.348,10.299,-6.127,11.33,-1.935,8,0.087,0.661,-6.511,-1.234,5.275,6.758,-1.025
hc_c32h18_0pent_109,c1ccc2cc3c(cc2c1)cc1ccc2c4cc5ccccc5cc4cc4ccc3c1c42,-9.353,-8.154,1.199,0.006,-2115.558,-2104.597,-2122.117,10.355,10.339,10.29,-6.559,10.961,-1.901,8,0.509,1.134,-5.995,-1.75,4.231,6.226,-1.551
hc_c32h18_0pent_110,c1ccc2cc3c(cc2c1)cc1ccc2c4ccc5ccccc5c4cc4ccc3c1c42,-9.476,-8.008,1.469,0.023,-2115.759,-2104.651,-2122.147,10.368,10.345,10.298,-6.388,11.108,-1.916,8,0.308,0.911,-6.186,-1.562,4.615,6.438,-1.343
hc_c32h18_0pent_112,c1ccc2c(c1)ccc1cc3cc4ccc5c6ccccc6cc6ccc(c3cc12)c4c65,-9.496,-7.99,1.506,0.011,-2115.807,-2104.659,-2122.155,10.37,10.345,10.295,-6.348,11.148,-1.917,8,0.26,0.882,-6.217,-1.539,4.668,6.495,-1.294
hc_c32h18_0pent_113,c1ccc2c(c1)ccc1cc3c(cc4ccc5c6ccccc6cc6ccc3c4c65)cc12,-9.484,-7.998,1.486,0.018,-2115.821,-2104.703,-2122.195,10.371,10.348,10.3,-6.374,11.118,-1.914,8,0.246,0.885,-6.198,-1.549,4.639,6.452,-1.326
hc_c32h18_0pent_115,c1ccc2c(c1)ccc1cc3cc4ccc5cc6ccccc6c6ccc(c3cc12)c4c56,-9.624,-7.832,1.792,0.043,-2115.91,-2104.641,-2122.112,10.375,10.344,10.295,-6.203,11.269,-1.917,8,0.157,0.764,-6.416,-1.335,5.074,6.67,-1.118
hc_c32h18_0pent_116,c1ccc2c(c1)ccc1cc3c(cc4ccc5cc6ccccc6c6ccc3c4c56)cc12,-9.601,-7.852,1.75,0.033,-2115.923,-2104.704,-2122.172,10.376,10.349,10.301,-6.249,11.219,-1.914,8,0.144,0.767,-6.38,-1.361,5.014,6.598,-1.174
hc_c32h18_0pent_118,c1ccc2cc3c(cc2c1)cc1ccc2cc4c5ccccc5ccc4c4ccc3c1c24,-9.548,-7.919,1.629,0.035,-2115.833,-2104.667,-2122.149,10.372,10.346,10.298,-6.316,11.166,-1.916,8,0.234,0.83,-6.298,-1.447,4.842,6.521,-1.255
hc_c32h18_0pent_119,c1ccc2cc3c(cc2c1)cc1ccc2cc4cc5ccccc5cc4c4ccc3c1c24,-9.538,-7.933,1.605,0.055,-2115.718,-2104.582,-2122.071,10.363,10.339,10.29,-6.352,11.137,-1.901,8,0.349,0.928,-6.282,-1.465,4.808,6.479,-1.299
hc_c32h18_0pent_131,c1ccc2cc3c(ccc4c3ccc3c4cc4ccc5cccc6ccc3c4c56)cc2c1,-9.652,-7.804,1.848,0.044,-2115.862,-2104.635,-2122.111,10.374,10.342,10.294,-6.248,11.228,-1.913,8,0.205,0.773,-6.46,-1.299,5.154,6.611,-1.172
hc_c32h18_0pent_132,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2ccc3cccc4ccc1c2c34,-9.706,-7.732,1.974,0.051,-2115.972,-2104.65,-2122.098,10.383,10.347,10.301,-6.127,11.322,-1.927,8,0.095,0.668,-6.544,-1.207,5.333,6.746,-1.025
hc_c32h18_0pent_134,c1ccc2c(c1)ccc1c2ccc2c1cc1c3ccccc3c3cccc4ccc2c1c43,-9.769,-7.636,2.133,0.043,-2116.0,-2104.597,-2122.025,10.386,10.35,10.301,-6.025,11.403,-1.954,8,0.067,0.591,-6.642,-1.083,5.559,6.863,-0.901
hc_c32h18_0pent_138,c1ccc2cc3c(ccc4c3cc3ccc5c6ccccc6cc6ccc4c3c65)cc2c1,-9.595,-7.867,1.728,0.02,-2115.811,-2104.609,-2122.086,10.371,10.342,10.295,-6.275,11.202,-1.916,8,0.256,0.827,-6.371,-1.38,4.983,6.573,-1.205
hc_c32h18_0pent_139,c1ccc2cc3c(ccc4c3cc3ccc5cc6ccccc6c6ccc4c3c56)cc2c1,-9.609,-7.847,1.762,0.023,-2115.855,-2104.653,-2122.129,10.373,10.344,10.296,-6.274,11.201,-1.916,8,0.212,0.793,-6.393,-1.355,5.032,6.572,-1.204
hc_c32h18_0pent_142,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3ccc5cccc6ccc4c3c56)cc12,-9.702,-7.745,1.956,0.035,-2115.988,-2104.688,-2122.15,10.379,10.346,10.298,-6.162,11.3,-1.913,8,0.079,0.695,-6.537,-1.223,5.307,6.714,-1.068
hc_c32h18_0pent_143,c1ccc2cc3cc4c(ccc5c4cc4ccc6cccc7ccc5c4c67)cc3cc2c1,-9.573,-7.913,1.66,0.01,-2115.726,-2104.574,-2122.075,10.364,10.337,10.288,-6.349,11.152,-1.898,8,0.341,0.915,-6.337,-1.44,4.886,6.501,-1.295
hc_c32h18_0pent_144,c1ccc2c(c1)ccc1cc3ccc4c(cc5ccc6cccc7ccc4c5c67)c3cc12,-9.723,-7.731,1.993,0.018,-2115.975,-2104.619,-2122.084,10.378,10.337,10.289,-6.109,11.356,-1.918,8,0.092,0.693,-6.57,-1.205,5.36,6.795,-1.003
hc_c32h18_0pent_170,c1ccc2c(c1)ccc1c2cc2ccc3c4ccc5ccccc5c4cc4ccc1c2c43,-9.61,-7.841,1.769,0.007,-2115.935,-2104.692,-2122.157,10.38,10.35,10.305,-6.222,11.243,-1.931,8,0.132,0.725,-6.394,-1.347,5.041,6.632,-1.141
hc_c32h18_0pent_173,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3c4ccccc4cc4ccc2c1c43,-9.566,-7.894,1.672,0.023,-2115.874,-2104.672,-2122.142,10.378,10.348,10.302,-6.268,11.202,-1.929,8,0.193,0.778,-6.326,-1.415,4.904,6.573,-1.197
hc_c32h18_0pent_177,c1ccc2c(c1)ccc1c2cc2ccc3cc4c5ccccc5ccc4c4ccc1c2c34,-9.639,-7.801,1.838,0.016,-2115.973,-2104.71,-2122.168,10.381,10.351,10.306,-6.195,11.263,-1.932,8,0.094,0.694,-6.439,-1.296,5.14,6.661,-1.108
hc_c32h18_0pent_181,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3cc4ccccc4c4ccc2c1c34,-9.642,-7.797,1.845,0.046,-2115.939,-2104.673,-2122.126,10.381,10.349,10.303,-6.187,11.267,-1.929,8,0.128,0.71,-6.444,-1.29,5.149,6.667,-1.098
hc_c32h18_0pent_220,c1ccc2c(c1)ccc1c2cc2c3cc4cccc5cccc(c3cc3cccc1c32)c54,-9.345,-8.146,1.198,0.091,-2115.543,-2104.543,-2122.05,10.368,10.35,10.302,-6.507,10.999,-1.94,8,0.524,1.077,-5.982,-1.739,4.23,6.28,-1.487
hc_c32h18_0pent_47,c1ccc2cc3c(cc2c1)c1cccc2ccc4c5ccc6ccccc6c5cc3c4c21,-9.838,-7.558,2.28,0.029,-2115.964,-2104.491,-2121.913,10.38,10.329,10.271,-5.949,11.474,-1.947,8,0.103,0.624,-6.749,-0.983,5.768,6.965,-0.809
hc_c32h18_0pent_48,c1ccc2c(c1)ccc1cc3c(cc12)c1cc2ccccc2c2ccc4cccc3c4c21,-9.821,-7.592,2.229,0.027,-2116.021,-2104.546,-2121.977,10.383,10.332,10.28,-5.955,11.476,-1.943,8,0.046,0.605,-6.723,-1.027,5.695,6.968,-0.816
hc_c32h18_0pent_49,c1ccc2c(c1)ccc1cc3c(cc12)c1cccc2ccc4c5ccccc5cc3c4c21,-9.819,-7.591,2.228,0.033,-2116.021,-2104.556,-2121.985,10.383,10.334,10.282,-5.964,11.465,-1.942,8,0.046,0.605,-6.719,-1.025,5.694,6.952,-0.827
hc_c32h18_0pent_57,c1ccc2cc3c(ccc4cc5c(cc43)c3cccc4ccc6cccc5c6c43)cc2c1,-9.841,-7.59,2.251,0.043,-2115.992,-2104.56,-2122.009,10.379,10.335,10.28,-6.017,11.432,-1.922,8,0.075,0.638,-6.754,-1.024,5.727,6.905,-0.892
hc_c32h18_0pent_58,c1ccc2c(c1)ccc1c3cc4c(cc3ccc21)c1cccc2ccc3cccc4c3c21,-9.916,-7.482,2.434,0.065,-2116.042,-2104.525,-2121.938,10.385,10.324,10.267,-5.897,11.516,-1.935,8,0.025,0.583,-6.87,-0.885,5.987,7.026,-0.746
hc_c32h18_0pent_65,c1ccc2c(c1)ccc1cc3cc4c(cc3cc12)c1cccc2ccc3cccc4c3c21,-9.767,-7.683,2.084,0.046,-2115.95,-2104.517,-2121.962,10.378,10.323,10.263,-6.012,11.433,-1.915,8,0.117,0.678,-6.639,-1.144,5.489,6.906,-0.885
hc_c32h18_0pent_66,c1ccc2cc3cc4cc5c(cc4cc3cc2c1)c1cccc2ccc3cccc5c3c21,-9.478,-8.038,1.44,0.027,-2115.639,-2104.458,-2121.972,10.36,10.325,10.274,-6.333,11.181,-1.898,8,0.428,0.979,-6.189,-1.6,4.574,6.543,-1.276
hc_c32h18_0pent_86,c1ccc2cc3c(ccc4cc5cc6ccc7cccc8ccc(c5cc43)c6c78)cc2c1,-9.663,-7.81,1.853,0.028,-2115.858,-2104.561,-2122.041,10.37,10.326,10.269,-6.183,11.297,-1.902,8,0.209,0.805,-6.477,-1.307,5.161,6.71,-1.093
hc_c32h18_0pent_87,c1ccc2c(c1)ccc1c3cc4c(cc3ccc21)cc1ccc2cccc3ccc4c1c23,-9.6,-7.875,1.725,0.053,-2115.883,-2104.649,-2122.136,10.375,10.344,10.294,-6.254,11.234,-1.915,8,0.184,0.784,-6.379,-1.391,4.979,6.619,-1.18
hc_c32h18_0pent_89,c1ccc2c(c1)ccc1cc3cc4cc5ccc6cccc7ccc(c4cc3cc12)c5c67,-9.488,-8.012,1.476,0.048,-2115.766,-2104.647,-2122.159,10.366,10.342,10.291,-6.394,11.118,-1.895,8,0.301,0.931,-6.205,-1.567,4.625,6.452,-1.35
hc_c32h18_0pent_90,c1ccc2cc3cc4cc5c(cc4cc3cc2c1)cc1ccc2cccc3ccc5c1c23,-9.308,-8.224,1.084,0.032,-2115.429,-2104.525,-2122.069,10.346,10.334,10.284,-6.64,10.904,-1.879,8,0.638,1.275,-5.925,-1.84,4.068,6.143,-1.649
hc_c32h18_0pent_91,c1ccc2c(c1)ccc1cc3cc4c(cc3cc12)cc1ccc2cccc3ccc4c1c23,-9.481,-8.017,1.465,0.051,-2115.768,-2104.668,-2122.177,10.366,10.344,10.294,-6.409,11.1,-1.894,8,0.299,0.932,-6.194,-1.573,4.609,6.426,-1.368
hc_c32h18_0pent_92,c1ccc2cc3cc4c(cc3cc2c1)cc1c2ccccc2c2cccc3ccc4c1c32,-9.482,-8.015,1.467,0.014,-2115.69,-2104.566,-2122.073,10.366,10.342,10.294,-6.383,11.124,-1.918,8,0.377,0.924,-6.195,-1.571,4.612,6.461,-1.337
hc_c32h18_0pent_93,c1ccc2cc3cc4c(cc3cc2c1)cc1ccc2c3ccccc3cc3ccc4c1c32,-9.339,-8.175,1.163,0.015,-2115.512,-2104.571,-2122.098,10.353,10.339,10.29,-6.586,10.941,-1.898,8,0.555,1.179,-5.973,-1.777,4.18,6.197,-1.583
hc_c32h18_0pent_94,c1ccc2cc3cc4c(cc3cc2c1)cc1ccc2cc3ccccc3c3ccc4c1c23,-9.455,-8.041,1.414,0.053,-2115.642,-2104.583,-2122.092,10.36,10.34,10.29,-6.45,11.059,-1.898,8,0.425,1.018,-6.153,-1.604,4.537,6.367,-1.418
hc_c32h18_0pent_98,c1ccc2c(c1)ccc1c3cc4cc5ccc6cccc7ccc(c4cc3ccc21)c5c67,-9.583,-7.888,1.696,0.063,-2115.899,-2104.696,-2122.179,10.376,10.347,10.299,-6.281,11.202,-1.911,8,0.168,0.787,-6.352,-1.407,4.938,6.573,-1.213
hc_c32h18_0pent_99,c1ccc2cc3c(ccc4cc5c(cc6ccc7cccc8ccc5c6c78)cc43)cc2c1,-9.63,-7.836,1.794,0.044,-2115.87,-2104.644,-2122.123,10.37,10.341,10.291,-6.253,11.226,-1.898,8,0.197,0.808,-6.425,-1.341,5.077,6.608,-1.178
hc_c34h16_0pent_13,c1cc2ccc3cc4cc5ccc6ccc7cccc8c9cc%10cc(c1)c2c3c%10c4c9c5c6c78,-9.386,-8.15,1.235,0.045,-2206.441,-2195.412,-2212.96,10.148,10.133,10.083,-6.519,11.029,-2.138,10,0.419,1.099,-6.046,-1.744,4.282,6.324,-1.502
hc_c34h16_0pent_14,c1cc2ccc3cc4cc5ccc6cccc7c8cccc9c%10cc(c1)c2c3c%10c4c(c89)c5c67,-9.569,-7.927,1.642,0.062,-2206.572,-2195.334,-2212.842,10.158,10.128,10.077,-6.27,11.238,-2.156,10,0.288,0.888,-6.331,-1.458,4.861,6.625,-1.199
hc_c34h16_0pent_16,c1cc2ccc3ccc4c5ccc6cccc7c8cccc9cc%10c(c1)c2c3c4c%10c(c98)c5c67,-9.641,-7.824,1.818,0.019,-2206.7,-2195.398,-2212.878,10.166,10.135,10.083,-6.178,11.302,-2.172,10,0.16,0.769,-6.443,-1.325,5.111,6.717,-1.087
hc_c34h16_0pent_17,c1cc2ccc3c4ccc5cccc6c7ccc8cccc9c%10cc(c1)c2c3c%10c(c7c89)c4c56,-9.453,-8.048,1.405,0.052,-2206.551,-2195.459,-2212.975,10.159,10.14,10.093,-6.423,11.092,-2.175,10,0.309,0.938,-6.15,-1.613,4.524,6.414,-1.385
hc_c34h16_0pent_18,c1cc2ccc3c4ccc5cc6cccc7ccc8c9ccc%10cc(c1)c2c3c%10c9c4c5c8c76,-9.257,-8.286,0.971,0.0,-2206.325,-2195.454,-2213.006,10.146,10.137,10.09,-6.681,10.872,-2.153,10,0.535,1.261,-5.845,-1.919,3.907,6.097,-1.699
hc_c34h16_0pent_19,c1cc2ccc3ccc4c5ccc6ccc7cccc8c9ccc%10c(c1)c2c3c4c%10c9c5c6c78,-9.695,-7.756,1.94,0.018,-2206.829,-2195.519,-2212.992,10.171,10.142,10.091,-6.163,11.31,-2.168,10,0.031,0.686,-6.527,-1.238,5.285,6.729,-1.069
hc_c34h16_0pent_2,c1cc2ccc3ccc4cc5c6cccc7ccc8ccc9cc%10c(c1)c2c3c4c%10c5c9c8c76,-9.622,-7.853,1.768,0.004,-2206.773,-2195.527,-2213.021,10.164,10.14,10.088,-6.248,11.246,-2.155,10,0.087,0.768,-6.413,-1.362,5.04,6.636,-1.172
hc_c34h16_0pent_21,c1cc2ccc3cc4ccc5cc6ccc7cccc8cc9c%10cc(c1)c2c3c%10c4c5c9c6c78,-9.532,-7.982,1.549,0.006,-2206.573,-2195.42,-2212.95,10.153,10.132,10.081,-6.377,11.152,-2.141,10,0.287,0.941,-6.273,-1.528,4.729,6.501,-1.329
hc_c34h16_0pent_22,c1cc2ccc3cc4ccc5c6cccc7ccc8ccc9c%10cc(c1)c2c3c%10c4c5c9c8c76,-9.548,-7.953,1.595,0.035,-2206.663,-2195.484,-2213.001,10.161,10.137,10.088,-6.338,11.179,-2.154,10,0.197,0.858,-6.298,-1.491,4.794,6.54,-1.282
hc_c34h16_0pent_25,c1cc2ccc3cc4c5ccc6cccc7cc8ccc9cc%10cc(c1)c2c3c%10c4c9c8c5c67,-9.289,-8.26,1.029,0.039,-2206.312,-2195.405,-2212.965,10.142,10.132,10.083,-6.653,10.906,-2.139,10,0.548,1.253,-5.895,-1.886,3.989,6.146,-1.665
hc_c34h16_0pent_26,c1cc2cc3ccc4cc5cccc6cc7c8ccccc8c8cc(c1)c2c1c3c4c(c56)c7c81,-9.374,-8.164,1.21,0.056,-2206.38,-2195.334,-2212.885,10.149,10.132,10.085,-6.505,11.046,-2.163,10,0.48,1.096,-6.027,-1.762,4.247,6.348,-1.485
hc_c34h16_0pent_27,c1ccc2c(c1)cc1cc3ccc4cc5cccc6cc7ccc8cc2c1c1c3c4c(c56)c7c81,-9.287,-8.26,1.027,0.083,-2206.281,-2195.363,-2212.92,10.14,10.13,10.081,-6.638,10.919,-2.142,10,0.579,1.263,-5.892,-1.886,3.987,6.165,-1.647
hc_c34h16_0pent_3,c1cc2ccc3ccc4c5cccc6c7cccc8ccc9cc%10c(c1)c2c3c4c%10c(c65)c9c87,-9.812,-7.616,2.196,0.04,-2206.786,-2195.345,-2212.793,10.169,10.121,10.066,-6.007,11.44,-2.172,10,0.074,0.679,-6.709,-1.058,5.648,6.916,-0.879
hc_c34h16_0pent_32,c1ccc2c(c1)cc1c3cccc4cc5ccc6ccc7ccc8cc2c1c1c8c7c6c5c1c43,-9.46,-8.039,1.421,0.069,-2206.592,-2195.481,-2212.995,10.156,10.137,10.087,-6.403,11.111,-2.16,10,0.268,0.941,-6.161,-1.602,4.547,6.442,-1.361
hc_c34h16_0pent_33,c1ccc2c(c1)c1ccc3ccc4cc5cccc6c7cccc8cc2c2c1c3c4c(c56)c2c87,-9.495,-7.995,1.5,0.046,-2206.597,-2195.435,-2212.938,10.161,10.139,10.09,-6.341,11.162,-2.175,10,0.263,0.881,-6.216,-1.545,4.659,6.515,-1.285
hc_c34h16_0pent_34,c1ccc2c(c1)c1ccc3cc4cccc5c6cccc7cc8ccc2c2c8c(c76)c(c45)c3c12,-9.353,-8.16,1.193,0.047,-2206.433,-2195.419,-2212.943,10.154,10.138,10.091,-6.51,11.015,-2.173,10,0.427,1.073,-5.995,-1.757,4.223,6.303,-1.491
hc_c34h16_0pent_36,c1ccc2c(c1)cc1c3ccc4ccc5ccc6ccc7cc8ccc2c1c8c1c7c6c5c4c31,-9.607,-7.874,1.733,0.074,-2206.77,-2195.521,-2213.019,10.163,10.136,10.084,-6.249,11.249,-2.156,10,0.09,0.79,-6.39,-1.389,4.99,6.641,-1.174
hc_c34h16_0pent_38,c1ccc2c(c1)c1ccc3ccc4ccc5c6cccc7ccc8cc2c2c1c3c4c5c2c8c76,-9.733,-7.718,2.015,0.02,-2206.841,-2195.461,-2212.933,10.17,10.136,10.086,-6.092,11.38,-2.175,10,0.019,0.672,-6.586,-1.189,5.391,6.83,-0.983
hc_c34h16_0pent_39,c1ccc2c(c1)c1ccc3ccc4c5cccc6ccc7cc8ccc2c2c8c(c7c65)c4c3c12,-9.649,-7.82,1.829,0.045,-2206.77,-2195.468,-2212.953,10.168,10.136,10.086,-6.182,11.302,-2.171,10,0.09,0.737,-6.455,-1.32,5.127,6.717,-1.092
hc_c34h16_0pent_40,c1ccc2c(c1)c1ccc3ccc4cc5ccc6cccc7c8ccc2c2c1c3c4c(c5c67)c82,-9.781,-7.656,2.125,0.079,-2206.822,-2195.382,-2212.835,10.17,10.119,10.065,-6.013,11.44,-2.172,10,0.038,0.677,-6.66,-1.109,5.548,6.916,-0.887
hc_c34h16_0pent_6,c1cc2ccc3cc4cc5cccc6c7cccc8ccc9c%10cc(c1)c2c3c%10c4c(c56)c9c87,-9.382,-8.142,1.24,0.029,-2206.394,-2195.365,-2212.902,10.15,10.133,10.085,-6.507,11.029,-2.156,10,0.466,1.099,-6.04,-1.734,4.289,6.324,-1.487
hc_c34h16_0pent_7,c1cc2ccc3cc4c5cccc6ccc7cc8cccc9c%10cc(c1)c2c3c%10c4c(c89)c7c65,-9.507,-7.993,1.514,0.03,-2206.547,-2195.397,-2212.912,10.156,10.134,10.084,-6.365,11.15,-2.159,10,0.313,0.931,-6.234,-1.543,4.679,6.498,-1.315
hc_c34h18_0pent_110,c1ccc2c(c1)cc1ccc3cc4c5ccccc5cc5c6ccccc6c6cc2c1c3c6c45,-9.545,-7.917,1.628,0.038,-2233.151,-2221.985,-2239.464,10.715,10.689,10.642,-6.313,11.166,-2.119,9,0.208,0.817,-6.293,-1.445,4.841,6.521,-1.251
hc_c34h18_0pent_118,c1ccc2cc3c(cc2c1)c1cccc2cc4ccc5cc6ccccc6c6cc3c(c21)c4c56,-9.612,-7.852,1.76,0.059,-2233.109,-2221.846,-2239.322,10.709,10.671,10.619,-6.213,11.263,-2.101,9,0.25,0.837,-6.397,-1.361,5.029,6.661,-1.13
hc_c34h18_0pent_119,c1ccc2cc3c(cc2c1)c1cccc2cc4ccc5c6ccccc6cc6cc3c(c21)c4c65,-9.499,-7.988,1.511,0.045,-2233.008,-2221.843,-2239.338,10.705,10.673,10.623,-6.331,11.164,-2.094,9,0.351,0.948,-6.222,-1.536,4.675,6.518,-1.273
hc_c34h18_0pent_123,c1ccc2c(c1)ccc1cc3c(cc12)c1cccc2cc4ccc5cccc6cc3c(c21)c4c56,-9.641,-7.836,1.805,0.07,-2233.189,-2221.887,-2239.368,10.714,10.675,10.625,-6.18,11.301,-2.094,9,0.17,0.789,-6.443,-1.341,5.093,6.716,-1.09
hc_c34h18_0pent_124,c1ccc2cc3cc4c(cc3cc2c1)c1cccc2cc3ccc5cccc6cc4c(c21)c3c56,-9.667,-7.804,1.862,0.06,-2232.964,-2221.75,-2239.244,10.701,10.663,10.609,-6.28,11.215,-2.075,9,0.395,0.965,-6.483,-1.299,5.174,6.592,-1.211
hc_c34h18_0pent_125,c1ccc2c(c1)ccc1cc3c(cc12)c1cc2cccc4ccc5cc6cccc3c6c1c5c42,-9.642,-7.837,1.805,0.071,-2233.189,-2221.879,-2239.362,10.714,10.674,10.623,-6.173,11.311,-2.095,9,0.17,0.789,-6.444,-1.342,5.093,6.73,-1.081
hc_c34h18_0pent_153,c1ccc2c(c1)ccc1c2cc2ccc3ccc4c5cccc6cccc(c7cc1c2c3c47)c65,-9.471,-8.01,1.461,0.037,-2233.1,-2222.026,-2239.521,10.714,10.692,10.646,-6.421,11.074,-2.109,9,0.259,0.901,-6.178,-1.564,4.604,6.388,-1.383
hc_c34h18_0pent_160,c1ccc2c(c1)ccc1c2cc2cc3c4cccc5cccc(c6ccc7ccc1c2c7c63)c54,-9.48,-8.001,1.479,0.016,-2233.094,-2222.016,-2239.509,10.715,10.692,10.646,-6.415,11.078,-2.103,9,0.265,0.896,-6.192,-1.553,4.629,6.394,-1.375
hc_c34h18_0pent_191,c1ccc2c(c1)cc1c3cc4c5ccccc5cc5ccc6ccc(c7cccc2c71)c3c6c54,-9.474,-8.0,1.474,0.044,-2233.095,-2222.013,-2239.501,10.716,10.695,10.647,-6.406,11.082,-2.112,9,0.264,0.896,-6.183,-1.552,4.622,6.4,-1.365
hc_c34h18_0pent_244,c1ccc2cc3c(ccc4c3cc3c5cccc6ccc7ccc8ccc4c3c8c7c65)cc2c1,-9.687,-7.771,1.916,0.062,-2233.244,-2221.981,-2239.459,10.715,10.684,10.633,-6.215,11.263,-2.092,9,0.115,0.755,-6.514,-1.257,5.25,6.661,-1.132
hc_c34h18_0pent_250,c1ccc2cc3c(cc2c1)cc1c2cccc4ccc5c6ccccc6c6ccc3c1c6c5c42,-9.627,-7.827,1.8,0.055,-2233.149,-2221.903,-2239.374,10.715,10.684,10.636,-6.225,11.246,-2.108,9,0.21,0.789,-6.421,-1.329,5.086,6.636,-1.144
hc_c34h18_0pent_252,c1ccc2cc3c(cc2c1)cc1c2cc4ccccc4c4ccc5ccc6ccc3c1c6c5c42,-9.657,-7.802,1.855,0.022,-2233.195,-2221.921,-2239.394,10.713,10.679,10.63,-6.199,11.274,-2.093,9,0.164,0.797,-6.467,-1.297,5.164,6.677,-1.113
hc_c34h18_0pent_254,c1ccc2c(c1)ccc1cc3c(cc12)cc1c2cccc4ccc5ccc6ccc3c1c6c5c42,-9.674,-7.78,1.894,0.067,-2233.316,-2222.042,-2239.513,10.719,10.688,10.638,-6.197,11.274,-2.085,9,0.043,0.733,-6.494,-1.269,5.219,6.677,-1.11
hc_c34h18_0pent_255,c1ccc2cc3cc4c(cc3cc2c1)cc1c2cccc3ccc5ccc6ccc4c1c6c5c32,-9.493,-8.016,1.478,0.047,-2233.032,-2221.936,-2239.453,10.702,10.679,10.629,-6.42,11.097,-2.068,9,0.327,0.987,-6.212,-1.572,4.628,6.422,-1.382
hc_c34h18_0pent_256,c1ccc2c(c1)ccc1cc3cc4c5cccc6ccc7ccc8ccc(c3cc12)c4c8c7c65,-9.698,-7.758,1.939,0.055,-2233.303,-2221.983,-2239.454,10.718,10.682,10.63,-6.151,11.32,-2.088,9,0.056,0.73,-6.531,-1.24,5.283,6.743,-1.054
hc_c34h18_0pent_311,c1ccc2c(c1)ccc1c2cc2c3cccc4ccc5c6ccccc6c6ccc1c2c6c5c43,-9.664,-7.769,1.895,0.059,-2233.261,-2221.973,-2239.426,10.724,10.69,10.644,-6.165,11.288,-2.128,9,0.098,0.689,-6.478,-1.254,5.221,6.697,-1.071
hc_c34h18_0pent_325,c1ccc2cc3c(cc2c1)c1ccc2cccc4c5cc6ccccc6c6ccc3c(c65)c1c24,-9.632,-7.814,1.818,0.06,-2233.169,-2221.933,-2239.398,10.715,10.684,10.636,-6.23,11.236,-2.112,9,0.19,0.772,-6.429,-1.312,5.111,6.622,-1.151
hc_c34h18_0pent_327,c1ccc2c(c1)ccc1cc3c(cc12)c1ccc2cccc4c5cccc6ccc3c(c65)c1c24,-9.655,-7.797,1.858,0.031,-2233.265,-2221.987,-2239.453,10.72,10.686,10.636,-6.188,11.278,-2.108,9,0.094,0.727,-6.464,-1.29,5.168,6.683,-1.099
hc_c34h18_0pent_328,c1ccc2cc3cc4c(cc3cc2c1)c1ccc2cccc3c5cccc6ccc4c(c65)c1c23,-9.499,-7.995,1.504,0.028,-2233.0,-2221.921,-2239.429,10.705,10.682,10.634,-6.429,11.078,-2.088,9,0.359,0.964,-6.222,-1.545,4.665,6.394,-1.392
hc_c34h18_0pent_332,c1cc2ccc3cc4cc5c(cc4c4ccc(c1)c2c34)c1cccc2ccc3cccc5c3c21,-9.67,-7.807,1.862,0.018,-2233.208,-2221.912,-2239.393,10.716,10.676,10.627,-6.185,11.296,-2.087,9,0.151,0.781,-6.488,-1.303,5.174,6.709,-1.096
hc_c34h18_0pent_333,c1cc2ccc3cc4cc5c(cc6ccc7cccc8ccc5c6c78)cc4c4ccc(c1)c2c34,-9.461,-8.044,1.417,0.003,-2233.056,-2222.049,-2239.57,10.706,10.688,10.638,-6.514,11.006,-2.063,9,0.303,1.008,-6.163,-1.608,4.541,6.29,-1.496
hc_c34h18_0pent_334,c1cc2ccc3cc4cc5cc6ccc7cccc8ccc(c5cc4c4ccc(c1)c2c34)c6c78,-9.501,-8.003,1.498,0.003,-2233.034,-2221.959,-2239.477,10.705,10.682,10.631,-6.443,11.075,-2.066,9,0.325,1.001,-6.225,-1.555,4.656,6.39,-1.409
hc_c34h18_0pent_347,c1ccc2c(c1)cc1ccc3c4cc5ccc6cccc7ccc(c4cc4ccc2c1c43)c5c67,-9.447,-8.047,1.4,0.045,-2233.057,-2222.05,-2239.559,10.708,10.689,10.642,-6.503,11.007,-2.083,9,0.302,0.986,-6.141,-1.612,4.517,6.292,-1.482
